symbol,companyName,marketCap,volume,sector,industry,exchangeShortName,exchange
AAPL,Apple Inc.,3535123414000,52696428,Technology,Consumer Electronics,NASDAQ,NASDAQ Global Select
MSFT,Microsoft Corporation,3370924200500,16177539,Technology,Software - Infrastructure,NASDAQ,NASDAQ Global Select
NVDA,NVIDIA Corporation,3179304000000,247608479,Technology,Semiconductors,NASDAQ,NASDAQ Global Select
GOOGL,Alphabet Inc.,2296700172457,22774444,Communication Services,Internet Content & Information,NASDAQ,NASDAQ Global Select
AMZN,"Amazon.com, Inc.",2023979634000,29698046,Consumer Cyclical,Specialty Retail,NASDAQ,NASDAQ Global Select
META,"Meta Platforms, Inc.",1265400827329,19583874,Communication Services,Internet Content & Information,NASDAQ,NASDAQ Global Select
BRK-B,Berkshire Hathaway Inc.,917076264160,4805097,Financial Services,Insurance - Diversified,NYSE,New York Stock Exchange
LLY,Eli Lilly and Company,901364102000,2152541,Healthcare,Drug Manufacturers - General,NYSE,New York Stock Exchange
TSM,Taiwan Semiconductor Manufacturing Company Limited,830921831444,17991285,Technology,Semiconductors,NYSE,New York Stock Exchange
TSLA,"Tesla, Inc.",791655116000,155178091,Consumer Cyclical,Auto - Manufacturers,NASDAQ,NASDAQ Global Select
AVGO,Broadcom Inc.,791641476960,3012340,Technology,Semiconductors,NASDAQ,NASDAQ Global Select
NVO,Novo Nordisk A/S,631621670200,2827057,Healthcare,Biotechnology,NYSE,New York Stock Exchange
JPM,JPMorgan Chase & Co.,588520049800,14719507,Financial Services,Banks - Diversified,NYSE,New York Stock Exchange
WMT,Walmart Inc.,556934709600,9314354,Consumer Defensive,Discount Stores,NYSE,New York Stock Exchange
V,Visa Inc.,531744968823,6040737,Financial Services,Financial - Credit Services,NYSE,New York Stock Exchange
XOM,Exxon Mobil Corporation,508121291100,11621278,Energy,Oil & Gas Integrated,NYSE,New York Stock Exchange
UNH,UnitedHealth Group Incorporated,470804539050,3413602,Healthcare,Medical - Healthcare Plans,NYSE,New York Stock Exchange
ASML,ASML Holding N.V.,426965314912,1047649,Technology,Semiconductors,NASDAQ,NASDAQ Global Select
MA,Mastercard Incorporated,405988271700,2311113,Financial Services,Financial - Credit Services,NYSE,New York Stock Exchange
ORCL,Oracle Corporation,398965852200,6991762,Technology,Software - Infrastructure,NYSE,New York Stock Exchange
PG,The Procter & Gamble Company,393222925400,3027603,Consumer Defensive,Household & Personal Products,NYSE,New York Stock Exchange
COST,Costco Wholesale Corporation,373687071500,3264054,Consumer Defensive,Discount Stores,NASDAQ,NASDAQ Global Select
JNJ,Johnson & Johnson,360713198400,4655283,Healthcare,Drug Manufacturers - General,NYSE,New York Stock Exchange
HD,"The Home Depot, Inc.",356752968780,3361592,Consumer Cyclical,Home Improvement,NYSE,New York Stock Exchange
BAC,Bank of America Corporation,325249188300,30535959,Financial Services,Banks - Diversified,NYSE,New York Stock Exchange
MRK,"Merck & Co., Inc.",323591805600,5847099,Healthcare,Drug Manufacturers - General,NYSE,New York Stock Exchange
ABBV,AbbVie Inc.,300692343600,3860998,Healthcare,Drug Manufacturers - General,NYSE,New York Stock Exchange
AMD,"Advanced Micro Devices, Inc.",293538059100,50393931,Technology,Semiconductors,NASDAQ,NASDAQ Global Select
CVX,Chevron Corporation,286747702300,6327485,Energy,Oil & Gas Integrated,NYSE,New York Stock Exchange
TM,Toyota Motor Corporation,279602276611,195764,Consumer Cyclical,Auto - Manufacturers,NYSE,New York Stock Exchange
NFLX,"Netflix, Inc.",279051487600,3277180,Communication Services,Entertainment,NASDAQ,NASDAQ Global Select
KO,The Coca-Cola Company,274416415000,8597220,Consumer Defensive,Beverages - Non-Alcoholic,NYSE,New York Stock Exchange
ADBE,Adobe Inc.,247882770000,2006219,Technology,Software - Infrastructure,NASDAQ,NASDAQ Global Select
CRM,"Salesforce, Inc.",246096930000,4519872,Technology,Software - Application,NYSE,New York Stock Exchange
AZN,AstraZeneca PLC,245686789600,3006946,Healthcare,Drug Manufacturers - General,NASDAQ,NASDAQ Global Select
SAP,SAP SE,239409483651,630448,Technology,Software - Application,NYSE,New York Stock Exchange
SHEL,Shell plc,234462198600,1635240,Energy,Oil & Gas Integrated,NYSE,New York Stock Exchange
PEP,"PepsiCo, Inc.",228534576600,6331697,Consumer Defensive,Beverages - Non-Alcoholic,NASDAQ,NASDAQ Global Select
QCOM,QUALCOMM Incorporated,225911880000,7179553,Technology,Semiconductors,NASDAQ,NASDAQ Global Select
NVS,Novartis AG,218539512338,1603373,Healthcare,Drug Manufacturers - General,NYSE,New York Stock Exchange
LIN,Linde plc,211851541200,1519729,Basic Materials,Chemicals - Specialty,NASDAQ,NASDAQ Global Select
TMUS,"T-Mobile US, Inc.",210393949000,2983971,Communication Services,Telecommunications Services,NASDAQ,NASDAQ Global Select
TMO,Thermo Fisher Scientific Inc.,209214722440,940710,Healthcare,Medical - Diagnostics & Research,NYSE,New York Stock Exchange
AMAT,"Applied Materials, Inc.",201529115000,5187437,Technology,Semiconductors,NASDAQ,NASDAQ Global Select
WFC,Wells Fargo & Company,197116532800,48288363,Financial Services,Banks - Diversified,NYSE,New York Stock Exchange
ACN,Accenture plc,194573661920,3359754,Technology,Information Technology Services,NYSE,New York Stock Exchange
CSCO,"Cisco Systems, Inc.",190885017800,20880909,Technology,Communication Equipment,NASDAQ,NASDAQ Global Select
ARM,Arm Holdings plc American Depositary Shares,189846788783,8961705,Technology,Semiconductors,NASDAQ,NASDAQ
PDD,PDD Holdings Inc.,189217374640,8327311,Consumer Cyclical,Specialty Retail,NASDAQ,NASDAQ Global Select
TXN,Texas Instruments Incorporated,183799001340,3672929,Technology,Semiconductors,NASDAQ,NASDAQ Global Select
MCD,McDonald's Corporation,183063169500,4522946,Consumer Cyclical,Restaurants,NYSE,New York Stock Exchange
DHR,Danaher Corporation,182727482900,2136500,Healthcare,Medical - Diagnostics & Research,NYSE,New York Stock Exchange
ABT,Abbott Laboratories,181304238600,4257732,Healthcare,Medical - Devices,NYSE,New York Stock Exchange
INTU,Intuit Inc.,179455196650,1037266,Technology,Software - Application,NASDAQ,NASDAQ Global Select
